PROPERTY TYPE,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S),keep
,"Non-cancer illness code, self-reported: cervical spondylosis","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Type of fat/oil used in cooking: Olive spread,Lipoatrophy,Medium,HP_0100578,
,Type of fat/oil used in cooking: Olive spread,Pseudohyperaldosteronism type 2,Medium,Orphanet_88660,
disease,"Anaemia, unspecified",macrocytic anemia (disease),Medium,MONDO_0002281,
disease,"Anaemia, unspecified",anemia (disease),Medium,MONDO_0002280,
,Longest period of unenthusiasm / disinterest,emotional symptom measurement,High,EFO_0007803,
disease,Calculus of ureter,ureterolithiasis,Good,EFO_1001228,
,Pain type(s) experienced in last month: Pain all over the body,Ear pain,Medium,HP_0030766,
,Pain type(s) experienced in last month: Pain all over the body,Abdominal pain,Medium,HP_0002027,
,Miserableness,emotional symptom measurement,High,EFO_0007803,
,Manifestations of mania or irritability: I was more talkative than usual,Usual Ductal Breast Hyperplasia,Good,EFO_1000612,
disease,Total mastectomy NEC,necrotizing enterocolitis,Good,EFO_0003928,
,Fractured bone site(s): Arm,Fractured hand bones,Medium,HP_0004277,
,Fractured bone site(s): Arm,arm,Medium,UBERON_0001460,
,"Non-cancer illness code, self-reported: asthma","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: asthma",asthma,Medium,EFO_0000270,
disease,Other abnormal uterine and vaginal bleeding,Metrorrhagia,High,HP_0100608,
,Manic/hyper symptoms: I needed less sleep than usual,Small for gestational age,Medium,HP_0001518,
,Manic/hyper symptoms: I needed less sleep than usual,Decreased body weight,Medium,HP_0004325,
,FI6 : conditional arithmetic,N/A,Did not map,N/A,
treatment,nifedipine,nifedipine,Good,CHEBI_7565,
,Stomach/abdominal pain for 3+ months,pain in abdomen,High,EFO_0003766,
,Why stopped smoking: Financial reasons,smoking behavior,Medium,EFO_0004318,
,Why stopped smoking: Financial reasons,smoking initiation,Medium,EFO_0005670,
,Mineral and other dietary supplements: Zinc,N/A,Did not map,N/A,
disease,Lumbar vertebra,lumbar disc herniation,Good,EFO_1002005,
treatment,perindopril,N/A,Did not map,N/A,
,PCT responsible for patient data: OLDHAM PCT,platelet crit,Good,EFO_0007985,
,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma",asthma,Medium,EFO_0000270,
,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma",atopic asthma,Medium,EFO_0010638,
,High light scatter reticulocyte percentage,reticulocyte count,Good,EFO_0007986,
treatment,alendronate sodium,sodium chloride regimen,Good,EO_0007048,
treatment,transurethral resection of prostate (turp),prostate carcinoma,Good,EFO_0001663,
,PCT where patients GP was registered: CAMDEN PCT,platelet crit,Good,EFO_0007985,
,Intended management of patient (recoded): One or more nights hospital stay,Rh isoimmunization,Medium,EFO_1001159,
,Intended management of patient (recoded): One or more nights hospital stay,contraception,Medium,EFO_0009520,
,Taking other prescription medications,risk-taking behaviour,Medium,EFO_0008579,
,Taking other prescription medications,"number of treatments or medications taken, self-reported",Medium,EFO_0009803,
,Gas or solid-fuel cooking/heating: A gas fire that you use regularly in winter time,gas gangrene,Good,EFO_0007279,
,Age when periods started (menarche),age at menarche,High,EFO_0004703,
,"Mental health problems ever diagnosed by a professional: Anxiety, nerves or generalized anxiety disorder",generalized anxiety disorder,Medium,EFO_1001892,
,"Mental health problems ever diagnosed by a professional: Anxiety, nerves or generalized anxiety disorder",anxiety disorder,Medium,EFO_0006788,
,Type of fat/oil used in cooking: Low fat polyunsaturated margarine,low fat diet,Good,EFO_0002758,
disease,Special screening examination for neoplasms,checkup,High,EFO_0009517,
,Illnesses of adopted mother: None of the above (group 1),"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Illnesses of adopted mother: None of the above (group 1),Rh isoimmunization,Medium,EFO_1001159,
,Fractured bone site(s): Ankle,Abnormality of the talus,Medium,HP_0008365,
,Fractured bone site(s): Ankle,Fractured hand bones,Medium,HP_0004277,
treatment,vagifem 25mcg pessary,N/A,Did not map,N/A,
,"Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication",medication adherence behavior,Good,EFO_0006344,
,Job coding: non-commissioned officers or other rank of armed forces,RNA-seq of non coding RNA,Medium,EFO_0003737,
,Job coding: non-commissioned officers or other rank of armed forces,RNA-seq of non coding RNA from single cells,Medium,EFO_0005685,
disease,Total abdominal hysterectomy NEC,necrotizing enterocolitis,Good,EFO_0003928,
,OCT measured (left): Not performed - equipment failure,respiratory failure,Good,EFO_0009686,
,SHBG,sex hormone-binding globulin,Good,EFO_0003941,
,Difficulty stopping worrying during worst period of anxiety,period of infection,Medium,EFO_0000648,
,Difficulty stopping worrying during worst period of anxiety,anxiety,Medium,EFO_0005230,
,3mm cylindrical power angle (right),Cylindrical spirals myopathy,Medium,Orphanet_171886,
,3mm cylindrical power angle (right),angle unit,Medium,UO_0000121,
,"Job coding: public service higher/senior executive officer, hospital administrator",administrator,Medium,EFO_0009743,
,"Job coding: public service higher/senior executive officer, hospital administrator",executive function,Medium,EFO_0007046,
,Father's age,father's age at death,Medium,EFO_0009712,
,Father's age,parental longevity,Medium,EFO_0007796,
disease,Residual haemorrhoidal skin tags,Macrostomia - preauricular tags - external ophthalmoplegia,Medium,Orphanet_83619,
disease,Residual haemorrhoidal skin tags,skin infection,Medium,MONDO_0021201,
treatment,shoulder surgery,shoulder,Medium,UBERON_0001467,
treatment,shoulder surgery,Shoulder pain,Medium,HP_0030834,
,Other and unspecified anaemias,anthrax infection,Medium,EFO_0000778,
,Other and unspecified anaemias,schizophrenia,Medium,EFO_0000692,
disease,Nausea and vomiting,Nausea and vomiting,High,HP_0002017,
,Severity of problems due to mania or irritability,kernicterus due to isoimmunization,Good,EFO_1000721,
,Pulse rate (during blood-pressure measurement),heart rate,Good,EFO_0004326,
,Forced expiratory volume in 1-second (FEV1),forced expiratory volume,High,EFO_0004314,
,Carer support indicators: No,No-0,Good,EFO_0006976,
disease,Osteotomy of neck of first metatarsal bone,femoral neck fracture,Good,EFO_1001792,
disease,Dysplasia of cervix uteri,dysplasia of cervix,High,EFO_1000910,
,"Non-cancer illness code, self-reported: enlarged prostate","number of non-cancer illnesses, self-reported",Good,EFO_0009801,
,Diastolic blood pressure  automated reading,diastolic blood pressure,High,EFO_0006336,
treatment,brain surgery,prophylactic surgery,Good,EFO_0009580,
,Mean corpuscular haemoglobin concentration,mean corpuscular hemoglobin concentration,Good,EFO_0004528,
disease,Palmar fascial fibromatosis [Dupuytren]-Hand,Palmar Fibromatosis,Medium,EFO_1000438,
disease,Palmar fascial fibromatosis [Dupuytren]-Hand,fibromatosis,Medium,EFO_0000497,
,Tofu intake,energy intake,Medium,EFO_0003939,
,Tofu intake,fish consumption measurement,Medium,EFO_0010139,
,Ankle spacing width,ankle injury,Good,EFO_1002021,
,Vitamin and/or mineral supplement use: Vitamin E,vitamin supplement exposure measurement,Medium,EFO_0009116,
,Vitamin and/or mineral supplement use: Vitamin E,vitamin E measurement,Medium,EFO_0004867,
disease,Excessive  frequent and irregular menstruation,Menorrhagia,High,HP_0000132,
,Potassium,potassium atom,High,CHEBI_26216,
treatment,elbow surgery,prophylactic surgery,Good,EFO_0009580,
,Rheumatoid factor,"rheumatoid arthritis, rheumatoid factor seropositivity measurement, rheumatoid factor measurement",Good,"EFO_0000685, EFO_0007791, EFO_0005767",
,Duration of heavy DIY,heavy metal poisoning,Medium,EFO_1001518,
,Duration of heavy DIY,duration,Medium,EFO_0000433,
,Scotch pancake intake,energy intake,Good,EFO_0003939,
,Smoking status: Never,smoking status measurement,Medium,EFO_0006527,
,Smoking status: Never,smoking behavior,Medium,EFO_0004318,
,Years since last breast cancer screening / mammogram,susceptibility to breast cancer,Good,EFO_0009649,
,GI-bleeding,Gastrointestinal hemorrhage,Medium,HP_0002239,
,GI-bleeding,Gastrointestinal angiodysplasia,Medium,HP_0000471,
,Type of tobacco currently smoked: Cigars or pipes,"Dysplasia of head of femur, Meyer type",Medium,Orphanet_168621,
,Type of tobacco currently smoked: Cigars or pipes,cornea,Medium,UBERON_0000964,
,PCT responsible for patient data: LAMBETH PCT,platelet crit,Good,EFO_0007985,
treatment,simvastatin,simvastatin,High,CHEBI_9150,
,Immature reticulocyte fraction,reticulocyte count,Good,EFO_0007986,
disease,Constipation,Constipation,High,HP_0002019,
,"Non-cancer illness code, self-reported: retinal detachment",retinal detachment,Good,EFO_0005773,
disease,Sleep apnoea,sleep apnea,High,EFO_0003877,
disease,Personal history of long-term (current) use of anticoagulants,Congenital bowing of long bones,Medium,Orphanet_2292,
disease,Personal history of long-term (current) use of anticoagulants,cancer of long bone of lower limb,Medium,MONDO_0000952,
disease,Personal history of diseases of the digestive system,digestive system disease,Medium,EFO_0000405,
disease,Personal history of diseases of the digestive system,Digestive System Carcinoma,Medium,EFO_1000218,
,Cauliflower intake,energy intake,Medium,EFO_0003939,
,Cauliflower intake,fish consumption measurement,Medium,EFO_0010139,
,"Mean signal-to-noise ratio (SNR), (left)",neutrophil-to-lymphocyte ratio,Medium,EFO_0008447,
,"Mean signal-to-noise ratio (SNR), (left)",platelet-to-lymphocyte ratio,Medium,EFO_0008446,
,Non-cancer illness code  self-reported: back problem,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Non-cancer illness code  self-reported: back problem,self rated health,Medium,EFO_0004778,
disease,Benign neoplasm of breast,breast neoplasm,High,EFO_0003869,
disease,Other and unspecified injuries of head,head injury,High,EFO_0009505,
disease,Approach to organ under radiological control,Neurogenic bladder,Medium,HP_0000011,
disease,Approach to organ under radiological control,impulse control disorder,Medium,MONDO_0001162,
,3mm regularity index (left),left ventricular mass index,Medium,EFO_0009290,
,3mm regularity index (left),IgG index,Medium,EFO_0006929,
disease,Avulsion of varicose vein of leg,varicose disease,Medium,MONDO_0008638,
disease,Avulsion of varicose vein of leg,pelvic varices,Medium,MONDO_0004869,
disease,Other specified abnormal uterine and vaginal bleeding,ectocervix,Good,UBERON_0012249,
disease,"Epilepsy, unspecified",epilepsy,Good,EFO_0000474,
,Financial situation satisfaction,financial situation satisfaction measurement,High,EFO_0009726,
,Sensitivity / hurt feelings,emotional symptom measurement,High,EFO_0007803,
disease,Malignant neoplasm of prostate,prostate carcinoma,High,EFO_0001663,
disease,Living alone,activities of daily living score measurement,Good,EFO_0008451,
,"PCT where patients GP was registered: HEYWOOD, MIDDLETON AND ROCHDALE PCT",N/A,Did not map,N/A,
,Other anaemias,anemia (phenotype),High,EFO_0004272,
,"Non-cancer illness code, self-reported: essential hypertension",primary hypertension,Medium,EFO_1002032,
,"Non-cancer illness code, self-reported: essential hypertension",hypertension,Medium,EFO_0000537,
,Leg pain when walking uphill or hurrying,Lower limb pain,Medium,HP_0012514,
,Leg pain when walking uphill or hurrying,Gait ataxia,Medium,HP_0002066,
,Main speciality of consultant (recoded): Urology,consultant,Good,EFO_0001732,
,Arm fat percentage (right),body fat percentage,Good,EFO_0007800,
,Tobacco smoking: Smokes on most or all days,"bringing up phlegm, sputum or mucus on most days, self-reported",Medium,EFO_0009824,
,Tobacco smoking: Smokes on most or all days,nicotine dependence,Medium,EFO_0003768,
disease,Diagnostic endoscopic examination of uterus and biopsy of lesion of uterus,N/A,Did not map,N/A,
,Croissant intake,energy intake,Medium,EFO_0003939,
,Croissant intake,fish consumption measurement,Medium,EFO_0010139,
,PCT responsible for patient data: STOCKTON-ON-TEES TEACHING PCT,platelet crit,Good,EFO_0007985,
disease,Cerebral infarction,brain infarction,High,EFO_0004277,
disease,Endoscopic resection of lesion of uterus,tumor of uterus,Medium,MONDO_0021353,
disease,Endoscopic resection of lesion of uterus,Pseudounicornuate uterus,Medium,Orphanet_180079,
treatment,digoxin,digoxin,High,CHEBI_4551,
,PCT responsible for patient data: STOKE ON TRENT PCT,platelet crit,Good,EFO_0007985,
disease,Surgical operation with implant of artificial internal device,internal hordeolum,Medium,MONDO_0004917,
disease,Surgical operation with implant of artificial internal device,inner ear neoplasm,Medium,MONDO_0024320,
,White fish intake,fish consumption measurement,Good,EFO_0010139,
,Ever had prostate specific antigen (PSA) test,prostate specific antigen measurement,Medium,EFO_0004624,
,Ever had prostate specific antigen (PSA) test,number of children ever born measurement,Medium,EFO_0009102,
disease,"Skin of upper limb, including shoulder",upper extremity fracture,Good,EFO_0009514,
,Age started wearing glasses or contact lenses,advanced glycation end-product measurement,Medium,EFO_0007819,
,Age started wearing glasses or contact lenses,age,Medium,EFO_0000246,
,PCT where patients GP was registered: GEDLING PCT,platelet crit,Good,EFO_0007985,
,PCT where patients GP was registered: NEWCASTLE-UNDER-LYME PCT,platelet crit,Good,EFO_0007985,
disease,Palpitations,Palpitations,Good,HP_0001962,
,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",N/A,Did not map,N/A,
disease,"Infection following a procedure, not elsewhere classified",respiratory system disease,Medium,EFO_0000684,
disease,"Infection following a procedure, not elsewhere classified",cardiomyopathy,Medium,EFO_0000318,
disease,Excision of lesion of peripheral nerve,radial nerve lesion,Medium,EFO_1001143,
disease,Excision of lesion of peripheral nerve,femoral neuropathy,Medium,EFO_1000936,
disease,Other diseases of oesophagus,esophageal disease,High,EFO_0009544,
,Dessert consumers,Musa acuminata,Good,NCBITaxon_4641,
,Sweet snack consumers,sweet liking measurement,Good,EFO_0010156,
